methQTL,Category,Function,Number of Genes,%,EASE Score,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Distant CpGs,GOTERM_BP_DIRECT,GO:0006366~transcription from RNA polymerase II promoter,36,1.990049751,0.04417691798,"Q8N328, O15164, Q12986, Q03111, D3ZGB1, Q3T0Q3, O57415, Q03468, Q9ULW3, Q6XP49, Q9W6Z2, O70437, P60899, Q13148, P28698, Q15643, Q3T0D0, Q9DBA9, Q96I24, Q3SWX9, A6H619, Q60452, Q03164, O08856, P24928, O08740, P58197, P10070, Q06546, P57760, Q8N2R0, Q9Y6Y1, P04052, D3ZD32, Q7ZWA3, O14776, O15945",1603,76,4450,1.314968644,1,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0005634~nucleus,601,33.22277501,8.42E-05,"Q07230, P49021, Q5U208, G3MWR8, Q9BQ70, Q80X66, Q505D1, Q9P215, Q8TDD1, P18756, Q8BHB4, Q6DGQ0, Q52KI8, Q8K194, Q9ULW3, Q06A37, F1MRW8, Q9Y2X3, Q9Z2U1, Q08AN1, Q9Y3Z3, P51111, Q12830, P28698, Q6NV18, Q04073, O73630, Q8NF91, Q12834, O46036, P51592, Q9CYC6, Q5XUN4, P62243, P42858, P42859, Q8N2R0, Q5ZL67, P49005, Q96JL9, Q28XE2, P56931, Q3V0C5, Q8N328, Q684M4, P51123, Q8MJC3, O97758, Q9Z136, Q9ES00, P51005, Q05397, P17886, Q3YEC7, Q5SSW2, Q8K2Z4, P28659, Q5RBX7, Q9WVF7, P29503, P56701, Q5BQE6, O15550, Q95M30, Q80YV3, B1AYB6, Q8WYB5, Q80TL0, Q9D1P2, Q3SXZ3, E9QAG8, P85001, O60673, Q498L2, Q32S26, Q05A36, P40417, Q571H0, Q2TAF4, Q9NZJ4, Q68F60, P26187, Q8R507, Q3UHX0, Q9NZB2, Q33BP8, Q9UL16, Q12986, Q10569, Q9D0U6, A0JNC2, Q90593, Q6GL52, Q8CJG1, F1QGZ6, Q6PDK2, Q08999, B3SAE4, O95248, Q03060, Q05481, Q59H18, Q9UEE5, Q6DRL5, Q5U379, Q90ZA1, A0JNB1, P16157, P40112, P58197, Q800K6, Q6ZQH8, Q1LWH4, P04052, A1A5P2, Q5ZJ65, Q9Y2U9, Q9ULT8, Q3L8U1, Q9UL36, F4I460, Q9CQ62, Q9QXX8, Q6P1D7, Q8VIJ5, Q8NA19, Q8VIJ6, P59055, Q9DBV3, O89049, O70437, Q9ULU4, Q86YI8, O88196, Q9H0F5, O70546, Q4U2R1, Q78ZA7, Q13867, Q922K7, Q7TMS5, Q9EST3, Q9D0R4, Q9P203, Q6P1E7, Q8IUH3, Q03164, Q6P1E8, Q6DRI7, Q1ECX4, Q6PGP7, Q06546, Q8IN94, Q92620, Q6P5M2, Q5HZJ0, D3ZD32, Q8C0Q4, O14776, P06576, Q90687, Q61037, Q9Z0H0, Q8CEQ0, P97864, P53804, Q6P5B0, Q922B6, P50533, O76075, Q9DE13, O55131, Q5BJQ6, Q96T88, Q80YQ8, A2VD01, P60330, B4JSC2, Q5R580, Q17RP2, Q2VPU4, P49419, Q802D3, Q9ERH4, P27987, Q6PGE4, Q6IV72, P62997, Q8VC34, P24495, E7F1C4, P59114, Q6VNB8, P97756, Q9NWZ5, Q9QYU1, P59241, Q9P2K5, Q63470, Q9Y6Y1, Q2QCI8, Q5RA02, P61799, Q96EZ8, Q91ZR3, Q6IRN2, Q641K5, O43257, P49760, Q61496, Q08024, Q7KU24, O57415, Q6P9G9, Q8R0Y8, P25789, Q8BXX2, Q15047, P51892, B2RRD7, Q5NVC7, P12001, Q9Z1M9, Q5SWW4, Q9Z1M8, A1Z6E0, O60832, P13221, O95071, P92177, P10070, Q29RP8, Q9C0H5, Q15054, Q58ED9, O15945, O89110, Q01617, Q9D0M2, P70583, Q8CGY8, Q9CSU0, Q5U4Q0, A4IHD2, Q62165, P19803, P15330, Q9BZE4, Q9BZE2, Q80XS6, Q812E0, Q3UIR3, O89106, G5EBU4, Q5XI13, Q9W6Z2, O42392, P60899, A2AIV2, O43242, Q9D5V5, Q17QR8, A1L3F5, Q8BFY9, Q86AS0, Q62296, Q9UHC1, P16554, Q5XI29, Q9DE46, Q801E2, Q8NFU7, Q9VC61, P50748, Q3UGM2, Q21502, Q9U281, F1QBY1, Q7Z5K2, Q9NES8, Q8R3C6, Q9HCD5, Q12802, Q5BK46, E1C3U7, Q0R4F1, Q9NU22, Q8C3P7, Q5ZKN1, Q08D57, Q5RDX4, P55094, Q90972, Q5R1S9, Q8INR6, Q91ZU6, Q8VE97, Q7Z5J4, P49432, Q17Q39, Q9BRS8, Q90WR8, Q6P5E8, A2AWP0, Q8R3B7, Q96QT6, Q5TCQ9, Q80Z37, D3ZSI8, Q61191, Q9DE26, P41824, B4F6U4, Q99PI4, Q92900, Q5RBU8, Q8K4P0, P36508, Q14686, O42101, Q8K4P8, D3ZGB1, Q63850, P35658, Q9Y2G1, Q04637, P08043, Q9ESB5, Q9Z2D6, Q80ZK9, P49815, Q8CFK2, O88573, P21127, Q9HB75, O88453, Q5R8W6, Q62655, Q61687, Q9HAV4, Q76KX8, P58545, P59759, Q9NYV6, Q9NRH2, Q8BK67, P45447, Q61532, Q9JKB5, A7M7B9, P47860, Q8IWY9, Q6GND3, Q8C2A2, O75123, A2BHJ4, Q26454, Q8BY02, Q99MY8, Q9DCD2, Q5XXA9, Q91XE9, O12944, Q5RI56, P69566, Q6XP49, Q96RK0, Q8CFI0, Q5VZK9, Q6ZQ08, Q13148, E1B7L7, B1ARD8, Q9DBA9, Q8K4M5, Q08DA3, E9Q2Z1, Q8BZ20, O08586, Q02427, Q8VEM8, P82890, Q99J08, Q9NPF5, P43243, B0JZV4, Q7ZWA3, Q0IIX9, Q3ZBM4, Q62203, Q9QXE7, Q6GMH0, O15164, Q5F450, Q7T0M6, Q1RKN3, Q8BZZ3, Q5RBN9, Q9VI93, Q6IFT6, Q5RBN8, O54888, Q96T49, Q8BGS3, E9PZM4, Q9GZN1, Q9C0G0, Q6GQQ9, P46100, P13439, Q6ZQ88, P46462, P57772, Q7T0L6, Q7TT28, Q62210, Q9JMK2, Q00472, P35689, Q64512, Q8C5L6, Q8BRH4, Q5VJS5, D3YWJ0, Q3T8J9, Q15477, Q8TCU4, Q9C0F0, P54274, P57784, Q9WVR8, Q00341, Q7KZ85, Q96T23, Q9ULD5, P24539, Q5FVW4, Q02874, Q96PK6, Q9UEW8, Q28CQ4, Q5T0B9, Q4R8W3, A0JP85, Q9BY84, Q62315, Q63648, Q8N7N5, A8WIP6, Q9WVS8, Q5XKL5, A7E3X2, Q5ZKF4, Q3UM18, C3XR70, Q8BWQ4, A9JTP3, Q9NYT6, P57682, Q8NI08, Q01538, O95714, Q60989, Q5REG1, Q9H3S7, Q15937, P62083, Q3T102, P42345, Q6ZNE5, Q5DU02, O95718, Q9VEN1, Q9VFP2, Q6DC04, Q9JIX8, Q6ZQK0, P31689, O94874, Q8R418, Q60636, Q86WJ1, Q96I24, E9QAM5, P30352, A6H619, Q02053, P24928, Q9Y4D8, Q6GPB5, Q4KWZ7, Q8I8U7, O60290, Q6ZQL4, O94761, P07207, Q9W704, Q460N5, Q7RX33, Q02040, Q9C098, Q3T0Q3, Q96GM8, O08852, Q9NZ01, A7SBN6, Q9Y6I4, Q96LW9, Q7Z6Z7, Q14AI0, Q7TMY8, O54941, O15014, Q56P03, Q9BTC0, Q6NU40, Q157S1, Q8BYH8, G4SLH0, P55210, Q2KI95, O08856, Q99PV0, Q24562, Q9Y6J9, O08740, F1NPG5, O08863, Q8TEK3, Q92540, A6NGD5, Q32NQ8, Q2NL57, Q13310, P28028, F8W2M1, Q8QHA5, P55861, Q9Z277, Q7TPD0, Q03111, A1Z7T0, Q8IMC6, Q9V6L0, O01159, Q5F3L1, Q03468, Q8VCH6, Q7ZXB1, Q8CCA0, P52486, Q13569, Q9NQZ8, O35286, Q99MV7, Q8K2G4, Q8TDP1, Q86XP1, Q6IRE4, Q6PBQ2, P11530, Q7Z2W4, Q9BUJ2, P47823, B2GUV7, Q9Y5B6, Q13330, Q60520, Q1LXS2, Q15637, F1QLY4, Q9W6K2, Q2TAS2, Q9H583, Q9BQA5, Q9Y4A5, P42003, Q8SX83, Q9UIW2, Q9Y6E0, Q2EMV9, Q5E9Y6, P00520, Q2LE08, Q27HV0, Q14678, Q9NVE5, Q15643, Q5SXM1, Q9H6Z9, Q59E55, Q3U487, Q7ZU90, Q497V6, Q8CGF7, A4IH17, Q4R7L3, Q07912, Q7T0B1, Q6P4S8, O95429, Q7ZYA2",1668,1512,4654,1.10905482,0.06552529671,0.0677678696,0.0677678696
Distant CpGs,GOTERM_CC_DIRECT,GO:0016607~nuclear speck,42,2.32172471,0.001207881471,"Q62203, Q6GMH0, P49760, Q5REG1, O75400, Q5ZKA3, Q02040, Q2KID6, P17886, Q96GM8, Q8C3P7, Q5ZML3, Q5SSW2, Q8IZD2, Q52KI8, P49756, Q9JIX8, Q08D57, Q8N302, A2AIV2, Q5R8W6, Q13148, Q8VE97, Q5RC80, Q5EA28, Q5NVC7, Q9EST3, P30352, Q6P5E8, O08856, Q24562, Q99PV0, Q80Z37, D3YWJ0, Q5ZIG2, Q6GPB5, Q1JPD6, Q8NI27, D3ZSI8, Q63470, P10070, Q9Y3Y2",1668,77,4654,1.521909745,0.6220269175,0.4861722923,0.4861722923
Distant CpGs,GOTERM_CC_DIRECT,GO:0000123~histone acetyltransferase complex,11,0.6080707573,0.01472758154,"Q6NVL5, Q96EZ8, Q9Y4A5, Q61191, Q8CGY8, Q8I8U7, Q8WND5, Q80YV3, Q9H9L4, Q9D1P2, Q27HV0",1668,15,4654,2.046123102,0.9999935011,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0032588~trans-Golgi network membrane,10,0.5527915976,0.0282523988,"Q5R6Q2, Q92738, Q8TCQ1, Q9HC07, Q9EQW7, Q9BXS5, Q71RS6, Q9UP83, O43747, Q7Z6M1",1668,14,4654,1.992977047,0.9999999999,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0090544~BAF-type complex,7,0.3869541183,0.02840295225,"Q8TAQ2, Q68CP9, Q8IN94, O54941, Q6DFM1, Q5ZK40, Q5U379",1668,8,4654,2.441396882,0.9999999999,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0008023~transcription elongation factor complex,9,0.4975124378,0.02927989537,"Q6NVL5, Q7KZ85, Q659A1, Q8N328, Q03468, Q8WND5, Q03111, O88573, Q9QXX8, O08856",1668,12,4654,2.092625899,1,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0005654~nucleoplasm,254,14.04090658,0.03176057716,"Q92859, Q14686, G3MWR8, D3ZGB1, Q80X66, Q505D1, P35658, Q9ESB5, O62742, Q70EL4, Q52KI8, F1MRW8, Q9Z2U1, Q9Y2X3, Q9HB75, O88453, Q9Y3Z3, P51111, Q5R8W6, Q12830, Q9HAV4, Q13367, Q8NF91, Q12834, Q7T2L7, Q9CYC6, Q9R1K5, Q9NYV6, P42858, P42859, Q8WY36, P49005, Q5ZK40, Q9D1A2, P08059, Q3V0C5, Q9R0Z7, Q8N328, P51123, Q6GND3, Q99MY8, Q8BY02, Q5XXA9, O12944, Q8K2Z4, Q6XP49, P28659, Q9WVF7, P25286, O95104, Q13148, P07857, E1B7L7, A7RRJ0, Q9DBA9, O15550, Q8K4M5, Q3SWX9, Q80YV3, Q8WYB5, D3ZUQ0, Q9D1P2, O08586, Q659A1, Q80ZX8, O60673, Q9NPF5, P43243, A7MB89, Q31125, Q9UKX7, Q9QXE7, P26187, Q9UL16, Q9D0U6, Q1RKN3, Q6PDK2, Q8IZD2, Q8NI36, Q08999, E9PZM4, Q865S1, Q6ZQ88, P46462, Q6UB98, Q8IVL1, Q9JMK2, Q8BRH4, P40112, P58197, Q8NI27, Q15477, P59280, Q3L8U1, Q8TAQ2, P54274, Q9WVR8, P57784, Q9CQ62, P17694, Q6P1D7, Q96T23, Q8VIJ6, P24539, Q96PK6, E1BYJ2, O89049, Q86YI8, Q9BY84, Q9H0F5, Q9UL45, O70546, Q9WVS8, Q5XKL5, O75792, Q03164, Q68CP9, Q6PGP7, A2A791, Q06546, Q8IN94, Q16222, Q92620, Q8C0Q4, Q01538, Q5RDQ2, Q9Y3Y2, Q9Z0H0, O95714, Q5REG1, Q9H3S7, Q3T106, O76075, P42345, Q5R580, Q9Y3A2, O95718, E9Q309, Q9JIX8, P27089, Q86WJ1, P59114, E9QAM5, Q9QYU1, P24928, Q9P2K5, Q4KWZ7, Q5ZJK1, Q5RA02, P61799, Q96EZ8, P07207, A5D7H2, P49760, O75400, Q02040, Q9C099, Q96GM8, O57415, Q7Z6Z7, Q14AI0, P25789, Q7TMY8, P49756, O54941, Q8IYD8, Q9H9L4, Q15047, Q9UP83, Q157S1, P55210, Q8IX12, Q08CG8, Q9Z1M9, Q5SWW4, Q24562, Q9Z1M8, O60832, O08740, Q9VAY7, O08863, Q8TEK3, O95071, P10070, P92177, Q15054, P06132, O89110, Q13435, Q5TKA1, Q9D0M2, P35858, P70583, Q9CSU0, Q03111, Q62165, Q767K9, Q5F3L1, Q86VM9, Q03468, Q3UIR3, O42392, P56282, A2AIV2, O43242, Q5RC80, Q13569, Q62296, Q9DE46, Q5M939, Q5DU57, Q9BUJ2, Q9P2G9, Q13330, Q60520, Q7Z5K2, P55884, Q15637, Q8R3C6, Q9H583, E1C3U7, Q9BQA5, Q9Y4A5, Q6EE31, Q7TSH8, Q9Y6E0, P21783, Q5R5J6, Q5RDX4, Q5R9R9, P55094, P00520, Q5R1S9, Q8VE97, Q80YA7, Q5T4S7, Q9CQN1, Q7Z5J4, Q3T0D0, P49796, P49432, Q7Z4H7, Q90WR8, Q9H6Z9, Q96SY0, Q8R3B7, Q96QT6, Q497V6, Q9P2I0, D3ZSI8, Q61191, Q7T0B1, Q92900, Q9UPV0, Q5RBU8",1668,646,4654,1.097062907,1,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0005856~cytoskeleton,98,5.417357656,0.03891578709,"Q61037, Q96NE9, Q62925, G3MWR8, Q9EQW7, A2A870, Q7M6Z4, Q71LX4, Q63850, O55131, Q2TA49, E7F6F9, Q6NN85, Q9ERH4, P46822, Q8NF91, Q01484, F1MBP6, Q62136, Q6DCZ7, Q99PW8, P62483, Q9JHU4, Q6DC17, Q8BK67, Q8VHE6, Q5M9P8, Q9Z136, Q6PDN3, P97329, Q05397, Q6P5H6, Q14CM0, Q99KL7, P0C6F1, Q2KN98, O01427, Q5BQE6, Q95M30, Q9WUM3, Q52KB6, Q5PPZ9, P55859, P16568, P85001, Q5XK85, Q9C0H5, Q00IB7, Q3ZBM4, A2AHC3, Q8CDK2, Q6PGZ3, Q09JY9, P29294, Q62165, A1Z7T0, Q0VEJ0, Q99323, Q8VCH6, Q8N264, O93614, Q6NWW5, Q91YU6, Q80X90, Q9GZN1, A4Q9F4, P11533, Q8K2G4, P16546, Q64512, P11530, Q9WV04, P16157, Q801E2, G5E8P0, Q9WU78, P30427, Q9WV92, Q8CJ40, Q8BGZ3, Q52KG5, G5E8K5, Q9UEW8, P00520, Q70E73, Q91ZU6, Q4U2R1, Q15643, B0WYY2, Q63648, Q7TSG1, Q6P5E8, P28191, P0DM42, Q9JII1, Q9HCS5, Q9C0D2, Q91XQ0",1668,234,4654,1.168531841,1,1,1
Distant CpGs,GOTERM_CC_DIRECT,GO:0005769~early endosome,34,1.879491432,0.04055556618,"Q9Y5W8, Q4G017, O18973, Q0MW30, Q9H269, Q02440, Q9H3S7, Q2HJG5, Q96L93, Q5R5P0, O75581, Q98930, Q641Z6, A8E7C5, Q5R5L7, Q0P5W1, A7MB11, O13016, Q9UJU6, Q5R6Q2, P53675, Q8TBP0, O95405, Q5R605, Q63648, Q13905, Q8K4M5, Q6IRE4, Q5ZIJ9, Q86YJ7, A6NI56, Q15075, Q2NL57, Q96S38",1668,71,4654,1.336136724,1,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0003676~nucleic acid binding,103,5.693753455,0.0003241942611,"Q8BHR2, Q07230, P36508, Q7Z4G4, Q15937, Q9P215, Q8TDD1, P08043, Q9CSP9, Q08AN1, Q6PGE4, O88453, Q9Y3Z3, Q6IV72, P28698, Q76KX8, Q60636, Q86WJ1, O08715, Q9P2K5, Q1JPD6, Q8N2R0, Q96JL9, O60290, O94761, O75123, Q8IZ69, Q5RKI1, Q61496, Q8BY02, Q587J7, Q7KU24, Q96GM8, Q96LW9, Q6P9G9, Q6XP49, P49756, Q8BXX2, P28659, Q9WVF7, Q13148, Q17902, Q8CGZ0, Q3SXZ3, Q99PV0, E9QAG8, P10070, A6NGD5, Q05A36, P43243, Q7ZWA3, Q13310, Q01617, Q62203, Q3UHX0, Q10569, Q5F450, Q9NSU2, Q9CWU0, O01159, Q96I76, Q8CHC4, A0JNC2, Q8CJG1, Q9VI93, Q812E0, G5EBU4, P60899, Q8N302, Q8BGS3, Q05481, Q9C0G0, O35286, Q7TT28, Q8TC59, A0JNB1, Q8UVX0, Q5HZL1, Q9UL36, Q9UKJ3, B2GUN4, Q8R3C6, Q5BK46, Q9ULD5, Q8VIJ6, Q8SX83, Q9DBV3, Q96PK6, Q08D57, Q2LE08, Q9BQ04, Q8VE97, Q5SXM1, Q96GQ7, Q9D0R4, Q8IUH3, Q2KJG3, Q6DRI7, Q502K1, Q9NYT6, P57682, Q92620, B4F6U4",1556,215,4301,1.32421534,0.344377009,0.4221009279,0.4221009279
Distant CpGs,GOTERM_MF_DIRECT,GO:0044822~poly(A) RNA binding,151,8.347153123,0.00155744176,"Q8K4P0, Q71RC2, Q5REG1, P62083, Q3T106, Q6P5B0, Q3T102, Q04637, Q8TDD1, Q5BJQ6, Q8BHB4, Q5R580, Q9Y3A2, Q52KI8, Q9Z2D6, Q9ULW3, Q9Y2X3, Q9JIX8, P21127, Q9ERH4, O88453, P62997, Q9HAV4, Q8TB72, Q8NF91, Q96I24, O08715, E9QAM5, Q02053, P24928, P62243, Q9P2K5, E9PVA8, Q9JHU4, Q8BK67, Q6ZQL4, Q3TLH4, O75400, Q02440, Q8IZ69, Q640Q5, Q5RKI1, Q02040, Q8BY02, P17886, Q5XXA9, Q5ZJP5, Q7Z6Z7, Q7TMY8, P49756, Q5RBX7, Q9BTC0, Q6ZQ08, O95104, Q13148, P79403, D2XV59, Q8IX12, Q8CGZ0, Q9Z1M9, Q99PV0, Q8BZ20, O60832, Q00004, Q9VAY7, Q02543, Q05A36, P43243, Q571H0, Q13310, E1BD59, Q13435, Q62203, Q62448, Q3UHX0, Q9NZB2, O46102, P70583, Q12986, Q3T0K2, Q767K9, A0JNC2, Q5RCP3, Q9BZE4, Q91VX2, Q86VM9, Q90593, Q8CJG1, Q80XS6, Q8NI36, Q812E0, P23588, Q5XI13, Q5R9L3, O13016, Q99PL5, A2AIV2, E9PZM4, Q80X90, Q5RC80, P46462, Q8BFY9, O35286, Q6AXY7, Q9JMK2, Q9DBG7, Q8BRH4, Q5XI29, Q90ZA1, Q5ZIM6, Q7Z2W4, P62282, Q9BYJ9, Q9BUJ2, A1A5P2, B2GUV7, Q2KI24, Q8CH18, Q9UKJ3, P30427, Q15637, Q8R3C6, P57784, Q9HCD5, Q5RJS9, Q00341, Q9H583, Q7KZ85, Q8VIJ6, Q9DBV3, Q96PK6, P04785, Q9BQ04, Q8VE97, Q9CQN1, Q3T0D0, Q78ZA7, Q922K7, Q9EST3, Q96GQ7, Q9D0R4, Q8IUH3, Q8CGF7, O76094, Q80YR4, Q92620, Q5HZJ0, O95429, Q92900, O14776, Q9Y3Y2",1556,343,4301,1.216865777,0.8685816976,0.5317017822,0.5317017822
Distant CpGs,GOTERM_MF_DIRECT,GO:0070577~lysine-acetylated histone binding,9,0.4975124378,0.001765363865,"B7ZS37, Q9Z277, Q5SSW2, O15164, Q32S26, Q6DC04, Q9W0T1, Q9ULU4, Q03164",1556,9,4301,2.764138817,0.8997947794,0.5317017822,0.5317017822
Distant CpGs,GOTERM_MF_DIRECT,GO:0000166~nucleotide binding,160,8.844665561,0.001838884981,"Q8BHR2, Q71RC2, Q9Z0H0, O70496, Q8CEQ0, Q5REG1, Q9EQW7, Q7M6Z4, Q3T106, Q6PAJ1, Q5RJI4, O55131, Q9WUB3, Q08C92, Q9TZM3, Q9ULW3, Q9JIX8, O88453, P62997, Q80WC9, Q61687, Q8R418, Q86WJ1, E7F1C4, Q62371, P35761, E9QAM5, P30352, Q08CA1, Q02053, Q9P2K5, Q03137, Q1JPD6, Q99PW8, Q6NYG8, Q9R1C6, Q9JHU4, Q3ZC15, Q8VHE6, Q5M9P8, Q07174, Q61532, Q9Z1T6, Q641K5, Q8CIW5, Q6PDN3, Q99M01, Q8IZ69, Q640Q5, P97329, Q02040, Q61496, Q1LUA6, P41233, Q99KL7, Q5RKZ7, Q28GD4, Q9JKR6, P27605, P49756, P0C6F1, P28659, Q9WVF7, O54827, O95104, Q13148, Q8BYH8, O01427, G4SLH0, Q8C0D5, Q6GMK8, Q55E58, Q24562, Q02427, P16056, Q80ZX8, Q811L6, O60673, Q498L2, P43243, Q8K0U4, Q7ZWA3, Q13310, Q01617, P28028, Q3UHX0, Q9Z277, Q69ZS7, P29691, Q9CWU0, O01159, Q8CHC4, Q8C7R4, Q5ZML3, F1QGZ6, Q8R2S1, Q812E0, P23588, O89106, O17732, Q6NWW5, Q5R9L3, Q9CZJ2, E9PZM4, Q5RC80, A4Q9F4, A4Q9F6, Q86AS0, O35286, Q9JMK2, Q9DBG7, Q54BU4, Q9WV04, Q5XI29, Q9DE46, Q90ZA1, D3YWJ0, Q3UGM2, P35295, Q92005, Q8CHR6, Q2KI24, P97364, P55884, B2GUN4, Q8R3C6, Q75J93, A4FUM1, Q23023, Q52KG5, Q8VIJ6, Q8SX83, Q2EMV9, Q60649, Q9DBV3, Q9QUJ7, Q96PK6, Q08D57, P00520, Q9BQ04, Q8VE97, Q9CQN1, Q9BRS8, A8WIP6, Q7TMS5, Q9WVS8, Q6P5E8, Q9D0R4, Q8IUH3, Q3UM18, Q23551, P0DM42, Q7SY52, Q6DRI7, Q7ZU90, Q1ECX4, Q8C0Q4, Q91XQ0, Q5RBU8, Q9DBU3",1556,367,4301,1.205074144,0.9089578145,0.5317017822,0.5317017822
Distant CpGs,GOTERM_MF_DIRECT,GO:0003682~chromatin binding,68,3.758982863,0.002041865523,"Q9QXE7, Q14686, Q9Z277, O42101, O15164, Q5U4Q0, P15330, Q03468, Q9Z2D6, Q6ZQK0, Q91684, O88453, Q62655, Q61687, Q1W1Y5, P46100, Q6ZQ88, Q9UHC1, Q9DE46, P58197, Q800K6, Q13330, F1QBY1, Q60520, Q8TAQ2, Q8N328, P07207, Q9WVR8, Q9HCD5, Q99MY8, E1C3U7, Q7KU24, Q5XXA9, Q9BQA5, Q8VIJ6, Q5ZKN1, Q9Y6I4, Q02874, Q8K2Z4, E1BYJ2, Q8IYD8, Q9WVF7, Q96RK0, O70437, Q15047, Q9ULU4, Q86YI8, Q62315, O70546, Q9DBA9, Q4R381, Q90WR8, Q3SWX9, Q80YV3, B1AYB6, Q6P1E7, Q9Z1M9, Q03164, Q96QT6, Q497V6, E9QAG8, Q61191, Q5E9Z7, P10070, Q06546, Q32S26, D3ZD32, Q7ZWA3, Q92900",1556,139,4301,1.352240573,0.930137536,0.5317017822,0.5317017822
Distant CpGs,GOTERM_MF_DIRECT,GO:0003723~RNA binding,94,5.196241017,0.004810808359,"Q62448, Q3UHX0, Q24297, O01159, Q04637, Q8TDD1, Q8CHC4, Q5ZML3, Q5BJQ6, Q8CJG1, Q5R580, Q9BZE2, Q80XS6, Q812E0, Q52KI8, P23588, Q9ULW3, P08045, O88453, Q5RJV1, Q9Y3Z3, P62997, Q8N302, Q9HAV4, Q8R418, Q5RC80, Q8TB72, Q9BV44, P51592, Q96I24, O08715, Q6PFQ2, Q9CYC6, P30352, Q1JPD6, Q8UVX0, Q21502, Q9BUJ2, Q15477, Q60520, Q6IRN2, P55884, B7ZS37, B2GUN4, Q15637, Q8R3C6, O75400, P57784, Q5ZKA3, Q5RJS9, H2QII6, P51005, Q00341, Q9QXX8, Q8C3P7, Q8SX83, Q8VIJ6, Q28GD4, Q2KID0, Q6P8E9, Q9DBV3, Q96PK6, O54941, Q08D57, P28659, Q13148, Q8VE97, P62309, Q9BRS8, Q922K7, Q6NRD5, Q9W799, Q8CGZ0, Q9D0R4, O75792, P12001, Q8IUH3, Q99PV0, Q24562, O60832, Q6DRI7, Q9P2I0, Q99973, O95071, Q02543, Q3ZBV2, Q05A36, Q498L2, Q5HZJ0, P41824, Q4IJH1, Q7ZWA3, Q92900, Q13310",1556,207,4301,1.255212796,0.9981243268,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0003779~actin binding,44,2.432283029,0.005466274674,"Q78J03, F4I460, Q13576, P28289, P30427, Q13813, Q9WV92, Q8CJ40, G3MWR8, Q09JY9, Q6PDN3, Q9H269, Q02440, Q71LX4, Q62165, Q05397, Q2TA49, P13395, Q6NN85, Q9VEN1, Q9UJU6, Q91ZU6, Q9UPQ0, Q80X90, B0WYY2, Q63648, Q8NF91, Q15746, O46037, P11533, Q9I7U4, Q9WUM3, P10587, B2RTY4, P16546, Q8NEV4, P59759, P11530, F1MBP6, Q08509, Q6ZPF4, Q9NZ56, Q00963, Q27J81",1556,86,4301,1.414210558,0.9992045581,1,1
Distant CpGs,GOTERM_MF_DIRECT,"GO:0051539~4 iron, 4 sulfur cluster binding",16,0.8844665561,0.007598913202,"Q8QHA5, A7M7B9, P0AC33, Q6DEE4, A2RRV9, P17694, Q60452, Q9DE46, Q5RKZ7, Q08C92, Q6NYG8, O60673, Q9WVF7, Q8CHR6, O89044, P42028",1556,24,4301,1.842759212,0.9999513845,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0008307~structural constituent of muscle,8,0.4422332781,0.01354949045,"P30427, G4SLH0, Q9I7U4, P10587, Q62165, A2ASS6, Q8WZ42, P11530",1556,9,4301,2.457012282,0.9999999807,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,10,0.5527915976,0.01572892776,"Q14686, Q5DU02, Q8IX12, Q6ZQ88, Q96PK6, Q8NI08, Q6DC04, E9QAM5, Q6IRE4, Q8CH18",1556,13,4301,2.126260629,0.9999999989,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0008092~cytoskeletal protein binding,15,0.8291873964,0.02183544417,"Q91ZU6, A0A1C3NSL9, P30427, E9Q9R9, Q9WV92, Q12955, Q62925, Q7TMS5, Q9WUM3, P28191, Q6P5H6, P13395, Q00963, Q9HCS5, G5E8K5",1556,24,4301,1.727586761,1,1,1
Distant CpGs,GOTERM_MF_DIRECT,GO:0003713~transcription coactivator activity,29,1.603095633,0.02263335424,"Q8TAQ2, Q14686, O15164, Q08024, Q9BQA5, Q5DU02, Q8IZD2, Q9ULW3, O95718, Q6DC04, Q15643, O46036, Q8IX12, Q80YV3, Q08DA3, Q62210, P59759, Q5SWW4, Q9Y6J9, P58197, Q61191, Q06546, Q8IN94, Q5ZKY9, Q99PI4, Q5ZK40, O14776, Q8CH18, Q13330",1556,56,4301,1.43142903,1,1,1
