contig	start	start15	end15	end
Contig47101	194	756	3382	3944
Contig47101	4210	6128	15084	17002
Contig49521	11755	13700	22783	24728
Contig28809	1920	2926	7621	8627
Contig28758	1291	1471	2313	2493
Contig57527	7047	7194	7884	8031
Contig104525	690	2293	9774	11377
Contig106107	360	821	2976	3437
Contig75889	1815	3421	10919	12525
Contig38120	2916	4001	9068	10153
Contig62181	1678	3084	9648	11054
Contig120801	110	846	4283	5019
Contig75725	60	2464	13683	16087
Contig102314	1436	1918	4172	4654
Contig7148	276	1307	6123	7154
Contig38732	1952	5142	20032	23222
Contig38732	1740	1769	1908	1937
Contig130482	2474	3206	6626	7358
Contig151952	13	120	622	729
Contig34474	3018	4594	11949	13525
Contig34474	17359	18195	22102	22938
Contig93328	7631	8606	13159	14134
Contig45342	6230	7414	12940	14124
Contig1310	11454	12180	15574	16300
Contig72988	1295	2429	7725	8859
Contig987	1686	2150	4318	4782
Contig987	5140	6530	13023	14413
Contig40274	2101	3363	9254	10516
Contig5760	3629	4058	6066	6495
Contig21368	922	2644	10684	12406
Contig21368	19672	23323	40362	44013
Contig9725	6956	7083	7677	7804
Contig39442	23	482	2628	3087
Contig31381	1124	1745	4649	5270
Contig43268	2599	3169	5830	6400
Contig6832	742	934	1832	2024
Contig6832	2304	2634	4177	4507
Contig48751	6603	6695	7130	7222
Contig47842	12102	13488	19956	21342
Contig41623	5647	7656	17033	19042
Contig3418	26	2047	11483	13504
Contig26490	11233	13622	24776	27165
Contig5618	3869	5005	10312	11448
Contig33999	469	711	1844	2086
Contig33999	6736	7858	13098	14220
Contig33999	3289	3395	3896	4002
Contig1411	5882	8245	19274	21637
Contig993	13897	16147	26651	28901
Contig305	13470	14446	19004	19980
Contig305	1712	3131	9756	11175
Contig62069	2773	4877	14702	16806
Contig62069	403	2116	10115	11828
Contig16811	5325	6241	10516	11432
Contig187278	5096	6124	10927	11955
Contig33735	5373	6592	12286	13505
Contig79529	1607	2401	6112	6906
Contig34150	2857	3176	4666	4985
Contig3217	12306	12407	12882	12983
Contig3217	7255	7902	10923	11570
Contig40154	1476	2133	5200	5857
Contig53033	501	1367	5413	6279
Contig27092	15036	17779	30585	33328
Contig139093	683	1137	3261	3715
Contig16685	41	1611	8943	10513
Contig80649	4280	5004	8386	9110
Contig5226	171	1653	8574	10056
Contig80934	1390	1702	3163	3475
Contig49333	17600	17785	18654	18839
Contig49333	4104	5377	11320	12593
Contig84688	44	250	1213	1419
Contig26349	972	2277	8368	9673
Contig52419	4685	5300	8172	8787
Contig42128	1112	1817	5110	5815
Contig11042	67	510	2579	3022
Contig11042	378	727	2362	2711
Contig19592	1526	3373	11998	13845
Contig61415	3717	4473	8007	8763
Contig36842	11806	12882	17909	18985
Contig1554	2828	4029	9638	10839
Contig42349	1168	1838	4967	5637
Contig898	2477	2970	5274	5767
Contig208754	434	793	2469	2828
Contig208754	2885	2980	3426	3521
Contig36431	3990	4785	8495	9290
Contig53759	9118	9343	10396	10621
Contig1823	811	2629	11115	12933
Contig1823	21929	22672	26141	26884
Contig187019	770	1474	4760	5464
Contig57695	3719	4200	6448	6929
Contig147506	1	119	672	790
Contig37408	4041	6169	16101	18229
Contig73680	17333	19651	30472	32790
Contig2940	8714	9513	13242	14041
Contig62205	7326	8602	14562	15838
Contig27249	2411	3226	7035	7850
Contig90425	4906	6736	15278	17108
Contig50557	520	2840	13668	15988
Contig41501	558	3941	19729	23112
Contig41501	25062	25305	26442	26685
Contig4375	17138	17671	20161	20694
Contig4375	12731	13289	15893	16451
Contig14865	2	131	736	865
Contig72046	9577	10031	12151	12605
Contig110791	464	961	3285	3782
Contig42892	727	4696	23219	27188
Contig33524	2520	2705	3573	3758
Contig105219	443	956	3353	3866
Contig69389	10	1114	6270	7374
Contig69389	11741	12107	13819	14185
Contig69389	9048	9421	11168	11541
Contig78338	906	971	1278	1343
Contig30957	816	1803	6415	7402
Contig73977	855	1841	6445	7431
Contig69845	148	399	1575	1826
Contig69845	2084	2212	2812	2940
Contig46438	335	512	1344	1521
Contig96223	1927	2843	7120	8036
Contig4299	7255	7819	10453	11017
Contig38861	72	738	3847	4513
Contig58995	11077	11264	12140	12327
Contig147188	1937	2576	5560	6199
Contig30031	5577	5634	5900	5957
Contig63412	4225	4352	4951	5078
Contig124655	5712	5746	5908	5942
Contig60381	4682	5359	8519	9196
Contig34006	192	236	447	491
Contig34006	1631	2688	7625	8682
Contig34006	8751	8829	9196	9274
Contig209592	1270	1889	4782	5401
Contig32892	284	628	2234	2578
Contig12873	98	149	390	441
Contig448	18147	18756	21603	22212
Contig448	11215	15333	34555	38673
Contig121799	6894	7360	9539	10005
Contig97811	2980	5324	16263	18607
Contig97811	1	4604	26090	30693
Contig39288	15963	18092	28029	30158
Contig39288	984	2969	12237	14222
Contig88193	649	1364	4707	5422
Contig88193	8364	8581	9598	9815
Contig15738	2878	6328	22429	25879
Contig60433	7081	7208	7803	7930
Contig9152	77	2303	12697	14923
Contig41852	9129	13664	34828	39363
Contig33527	1076	1596	4023	4543
Contig22078	3313	4863	12097	13647
Contig44096	372	1610	7390	8628
Contig44096	1235	3828	15931	18524
Contig57750	3286	3804	6223	6741
Contig72647	14466	14727	15951	16212
Contig499456	17057	17209	17921	18073
Contig59246	2825	3920	9034	10129
Contig6408	713	1538	5390	6215
Contig58605	6427	6909	9163	9645
Contig83471	2467	2583	3129	3245
Contig63240	2177	2363	3232	3418
Contig63240	16989	17287	18678	18976
Contig29164	4345	7258	20857	23770
Contig100114	438	1862	8508	9932
Contig157848	408	499	926	1017
Contig175	4150	5641	12601	14092
Contig175	28089	28914	32766	33591
Contig21976	681	1494	5291	6104
Contig20133	5206	5860	8916	9570
Contig84953	1	536	3038	3573
Contig27856	1628	2304	5459	6135
Contig55928	889	2181	8214	9506
Contig2077	834	3285	14729	17180
Contig78200	1774	2559	6227	7012
Contig76516	35	356	1857	2178
Contig48511	5644	7232	14643	16231
Contig16680	2858	3037	3878	4057
Contig60658	5090	5863	9473	10246
Contig51885	2642	3131	5414	5903
Contig41560	876	2777	11649	13550
Contig71265	8021	8911	13067	13957
Contig71265	4	1781	10074	11851
Contig78233	165	1172	5876	6883
Contig56255	816	1560	5035	5779
Contig54945	12784	13357	16037	16610
Contig54945	72	1931	10612	12471
Contig1601	458	2813	13803	16158
Contig74987	11387	11715	13251	13579
Contig102605	1189	2077	6226	7114
Contig33570	1909	2666	6201	6958
Contig96736	734	1154	3116	3536
Contig96736	5577	6192	9065	9680
Contig25750	1055	1121	1435	1501
Contig25750	1570	1611	1806	1847
Contig19971	4579	5603	10388	11412
Contig32532	4879	7379	19047	21547
Contig570	2824	4860	14364	16400
Contig123704	32	275	1410	1653
Contig2809	6778	6879	7353	7454
Contig2809	4507	4646	5300	5439
Contig2921	2530	4242	12233	13945
Contig49849	17422	18847	25501	26926
Contig60206	5832	7421	14840	16429
Contig44336	1497	4399	17948	20850
Contig91840	5068	5609	8140	8681
Contig20315	1755	1956	2898	3099
Contig20315	9603	9766	10527	10690
Contig3433	7772	7857	8254	8339
Contig108714	1641	3741	13541	15641
Contig17988	5753	10577	33091	37915
Contig17988	18021	19997	29221	31197
Contig17988	14249	14289	14478	14518
Contig44298	530	4144	21013	24627
Contig44298	76	659	3385	3968
Contig5683	141	1556	8160	9575
Contig2783	840	2027	7571	8758
Contig4541	212	1857	9538	11183
Contig94690	15	1126	6316	7427
Contig29399	4795	7425	19701	22331
Contig39871	3840	4803	9297	10260
Contig33021	3227	3732	6093	6598
Contig41882	5078	5259	6107	6288
Contig41882	3838	3939	4412	4513
Contig107546	3409	3449	3642	3682
Contig15910	24	3583	20196	23755
Contig37579	2573	3492	7785	8704
Contig37579	8881	9107	10166	10392
Contig63659	2605	4339	12434	14168
Contig23022	2734	3530	7245	8041
Contig29614	5982	7354	13762	15134
Contig109539	769	808	996	1035
Contig28849	32673	33674	38348	39349
Contig28849	22015	22103	22520	22608
Contig28849	86	3315	18389	21618
Contig55980	15123	15761	18743	19381
Contig59319	2595	5983	21797	25185
Contig16674	17580	19253	27062	28735
Contig16674	46444	46696	47876	48128
Contig16674	15175	15475	16877	17177
Contig16674	41108	41573	43743	44208
Contig41171	4990	5729	9179	9918
Contig626	1211	6471	31020	36280
Contig626	27125	28211	33283	34369
Contig86835	532	1086	3676	4230
Contig37215	387	1353	5867	6833
Contig50551	7019	7476	9609	10066
Contig62609	1366	2054	5265	5953
Contig114664	7313	8091	11726	12504
Contig51624	722	1181	3328	3787
Contig4187	1257	2098	6029	6870
Contig18927	786	1620	5514	6348
Contig37203	15356	15573	16590	16807
Contig19962	274	817	3354	3897
Contig193681	267	1162	5345	6240
Contig47845	1033	1781	5278	6026
Contig74788	416	1154	4598	5336
Contig43259	555	821	2063	2329
Contig98251	658	865	1832	2039
Contig213422	64	435	2167	2538
Contig45985	582	1700	6923	8041
Contig124264	1795	2068	3344	3617
Contig37566	4134	5396	11290	12552
Contig53411	680	1898	7588	8806
Contig62220	1216	2328	7521	8633
Contig41364	88	3047	16860	19819
Contig89940	264	767	3117	3620
Contig36194	2356	3944	11356	12944
Contig36194	12975	14123	19485	20633
Contig1070	17236	18481	24292	25537
Contig18956	773	1199	3188	3614
Contig198762	827	865	1043	1081
Contig35907	1437	3068	10685	12316
Contig168641	2530	2567	2741	2778
Contig3406	917	2118	7725	8926
Contig28423	11853	11962	12475	12584
Contig53606	1625	2897	8839	10111
Contig57790	11984	12469	14737	15222
Contig154	9073	9508	11542	11977
Contig154	20375	26617	55751	61993
Contig46901	119	872	4391	5144
Contig5500	5065	5508	7576	8019
Contig56012	7002	9949	23706	26653
Contig56012	526	899	2640	3013
Contig1349	2574	3554	8131	9111
Contig40887	291	2227	11267	13203
Contig124475	1543	1989	4074	4520
Contig47811	2284	3405	8641	9762
Contig48168	7358	8551	14119	15312
Contig21758	24372	24563	25459	25650
Contig27430	1713	2308	5087	5682
Contig989	6570	9076	20775	23281
Contig769	18971	20045	25057	26131
Contig769	4339	6008	13799	15468
Contig4818	910	1793	5917	6800
Contig4818	4674	5934	11818	13078
Contig163252	1542	1570	1705	1733
Contig72453	15645	16846	22453	23654
Contig131070	6573	7219	10237	10883
Contig23979	5407	7839	19189	21621
Contig23979	63684	70579	102760	109655
Contig23979	49516	54921	80149	85554
Contig60822	3837	4183	5798	6144
Contig43133	1191	1625	3654	4088
Contig37510	3335	5038	12991	14694
Contig51137	7217	12860	39195	44838
Contig283312	1770	2025	3217	3472
Contig43436	1606	3511	12403	14308
Contig43436	6856	7711	11706	12561
Contig79943	256	1676	8306	9726
Contig33154	8379	10848	22375	24844
Contig33154	28972	29039	29355	29422
Contig33154	30553	30657	31146	31250
Contig7301	608	781	1594	1767
Contig24550	18223	19463	25252	26492
Contig43722	295	737	2806	3248
Contig20764	245	626	2407	2788
Contig69501	3482	3935	6055	6508
Contig42885	2033	3367	9597	10931
Contig15962	14473	15030	17633	18190
Contig132864	151	439	1783	2071
Contig49007	8893	9876	14466	15449
Contig49007	996	1436	3493	3933
Contig49007	754	1637	5763	6646
Contig20851	260	1418	6825	7983
Contig20851	8069	10152	19877	21960
Contig16511	4117	5735	13287	14905
Contig80518	664	1647	6240	7223
Contig104532	2483	2757	4037	4311
Contig290696	1033	1139	1638	1744
Contig42532	1795	2471	5630	6306
Contig48870	79	1965	10767	12653
Contig65718	2225	3489	9391	10655
Contig592	2404	3845	10576	12017
Contig15298	833	2253	8884	10304
Contig64749	863	994	1611	1742
Contig114846	13	83	410	480
Contig6074	3938	4021	4411	4494
Contig19033	2876	3573	6832	7529
Contig28902	2528	3914	10388	11774
Contig28902	18180	19780	27249	28849
Contig189829	4511	4603	5036	5128
Contig29092	6619	10001	25789	29171
Contig42747	631	2173	9369	10911
Contig296	25581	27796	38135	40350
Contig296	31	4743	26734	31446
Contig3323	5083	5841	9383	10141
Contig38783	5772	9902	29178	33308
Contig29060	38275	38765	41055	41545
Contig29060	16165	16315	17020	17170
Contig37718	17894	18292	20150	20548
Contig48305	1559	3535	12758	14734
Contig120062	1185	1227	1424	1466
Contig138905	6061	6434	8177	8550
Contig206407	41412	42235	46078	46901
Contig60465	3551	4889	11136	12474
Contig131179	1323	1609	2944	3230
Contig193185	336	366	512	542
Contig19312	20183	21309	26567	27693
Contig61621	52	1579	8708	10235
Contig41927	115	3177	17468	20530
Contig75956	58	575	2993	3510
Contig140944	3456	3609	4328	4481
Contig228436	47	527	2769	3249
Contig73658	3154	4289	9586	10721
Contig82817	2623	4845	15215	17437
Contig48749	2373	4313	13369	15309
Contig7636	2580	2856	4150	4426
Contig3883	944	2280	8517	9853
Contig59257	5889	6774	10908	11793
Contig67659	24	111	518	605
Contig21492	4340	7490	22196	25346
Contig11172	7349	7388	7576	7615
Contig144788	61	249	1127	1315
Contig30994	339	489	1192	1342
Contig109413	1242	1485	2620	2863
Contig37376	1748	1992	3135	3379
Contig37376	2746	4508	12734	14496
Contig37376	14604	14805	15747	15948
Contig33245	501	2180	10020	11699
Contig21934	1278	1446	2235	2403
Contig21934	3217	3830	6693	7306
Contig98224	726	3529	16611	19414
Contig150864	2948	3134	4008	4194
Contig37726	4121	7971	25942	29792
Contig26870	2231	2658	4651	5078
Contig180242	546	1351	5109	5914
Contig5006	13	232	1257	1476
Contig65012	12	651	3637	4276
Contig42707	2731	3904	9384	10557
Contig135104	7505	7724	8747	8966
Contig16869	1097	1457	3140	3500
Contig16869	15461	19786	39973	44298
Contig55835	8698	10849	20890	23041
Contig55835	1321	3833	15558	18070
Contig93113	948	1650	4929	5631
Contig45061	23836	25817	35064	37045
Contig42324	670	934	2168	2432
Contig3882	2723	2771	2995	3043
Contig3882	4625	4907	6227	6509
Contig42722	2184	5201	19285	22302
Contig20151	925	1237	2696	3008
Contig5955	124	590	2769	3235
Contig108186	2714	4234	11333	12853
Contig61825	5926	5954	6088	6116
Contig30670	2204	3512	9618	10926
Contig315	4152	4467	5939	6254
Contig315	9787	11522	19622	21357
Contig52740	473	1524	6430	7481
Contig192559	521	548	679	706
Contig192559	27	99	439	511
Contig52910	4089	5883	14258	16052
Contig64930	3414	4662	10489	11737
Contig3731	1674	2000	3522	3848
Contig56277	1023	2163	7486	8626
Contig1270	2696	3620	7933	8857
Contig98724	4055	4106	4345	4396
Contig20857	3841	3925	4317	4401
Contig20857	5040	6483	13220	14663
Contig68006	2938	3627	6843	7532
Contig68006	7558	7958	9831	10231
Contig68006	7869	8228	9904	10263
Contig68006	549	1278	4685	5414
Contig3307	279	1346	6330	7397
Contig85624	950	1295	2910	3255
Contig49136	468	1141	4286	4959
Contig49136	5156	6033	10128	11005
Contig217341	1184	1369	2234	2419
Contig756	16463	18377	27311	29225
Contig85833	4337	5386	10282	11331
Contig519746	6	206	1140	1340
Contig51078	20605	20755	21455	21605
Contig51078	17017	17334	18819	19136
Contig45970	3752	5753	15096	17097
Contig121510	3565	3989	5973	6397
Contig39209	3755	3948	4851	5044
Contig25510	3530	6117	18195	20782
Contig40146	603	1970	8353	9720
Contig40146	9941	10163	11200	11422
Contig48307	3917	4493	7183	7759
Contig52105	847	1758	6015	6926
Contig552	327	2483	12550	14706
Contig69957	3962	4246	5577	5861
Contig33938	3681	6786	21280	24385
Contig106210	1521	1639	2195	2313
Contig78494	4850	5416	8061	8627
Contig38503	125	1269	6609	7753
Contig460480	236	751	3159	3674
Contig20088	28444	29820	36246	37622
Contig20088	4037	7364	22895	26222
Contig61477	1696	3052	9386	10742
Contig61996	11195	12181	16784	17770
Contig61996	1827	2740	7005	7918
Contig52727	3130	3430	4830	5130
Contig99720	2184	2659	4880	5355
Contig51601	617	1653	6489	7525
Contig10481	2359	3016	6082	6739
Contig10481	83	341	1551	1809
Contig69081	1743	1777	1942	1976
Contig87931	9853	10854	15529	16530
Contig19022	21084	24304	39337	42557
Contig19022	44389	44631	45761	46003
Contig52755	2206	2385	3221	3400
Contig25818	4107	7056	20820	23769
Contig212772	177	478	1888	2189
Contig6616	5678	5796	6351	6469
Contig23473	5440	6013	8693	9266
Contig24017	929	3092	13188	15351
Contig54398	4198	4653	6777	7232
Contig54398	1035	1314	2620	2899
Contig54398	7660	7689	7825	7854
Contig80025	1037	1167	1777	1907
Contig58730	5693	7194	14205	15706
Contig21563	3957	5240	11231	12514
Contig21563	759	1148	2965	3354
Contig7361	334	389	650	705
Contig7361	784	826	1023	1065
Contig92942	590	1323	4744	5477
Contig86526	8396	9423	14216	15243
Contig390	15696	17340	25013	26657
Contig117259	780	821	1018	1059
Contig92212	4571	5841	11772	13042
Contig45736	27376	30307	43989	46920
Contig79688	8852	9826	14377	15351
Contig21974	29872	31380	38419	39927
Contig21974	48859	50569	58554	60264
Contig21974	249	3325	17680	20756
Contig21974	44207	50755	81313	87861
Contig2472	1759	2653	6827	7721
Contig64981	1502	3576	13257	15331
Contig8010	460	910	3013	3463
Contig212708	7374	7708	9273	9607
Contig109781	6170	7320	12687	13837
Contig109781	1887	2497	5344	5954
Contig180491	580	661	1043	1124
Contig59778	3376	4276	8477	9377
Contig32089	6758	6985	8048	8275
Contig81286	56	707	3751	4402
Contig149	23425	25267	33867	35709
Contig149	21519	22178	25256	25915
Contig149	26689	27362	30508	31181
Contig56604	257	982	4366	5091
Contig56604	6068	6339	7608	7879
Contig31457	6027	8228	18502	20703
Contig115227	44	405	2094	2455
Contig45727	4741	7779	21958	24996
Contig3706	8678	9559	13673	14554
Contig90554	1565	1745	2591	2771
Contig36406	1535	2650	7857	8972
Contig19501	4486	5583	10708	11805
Contig23879	14909	15764	19754	20609
Contig105712	2240	2677	4719	5156
Contig212780	3853	4032	4869	5048
Contig41072	1394	2576	8095	9277
Contig41072	11857	13015	18424	19582
Contig42632	7792	8234	10300	10742
Contig26396	134	262	861	989
Contig26396	9050	10233	15754	16937
Contig43205	6588	9522	23215	26149
Contig43205	25210	27514	38270	40574
Contig61216	870	1182	2640	2952
Contig8234	183	408	1459	1684
Contig79436	1061	2276	7949	9164
Contig32903	91	2805	15471	18185
Contig33493	9390	9569	10407	10586
Contig52471	313	1262	5692	6641
Contig105951	1442	2295	6276	7129
Contig29141	21025	24573	41133	44681
Contig29141	2738	5479	18273	21014
Contig29141	38286	39931	47610	49255
Contig449	165	2193	11662	13690
Contig20766	294	961	4080	4747
Contig60735	883	1871	6485	7473
Contig46757	4947	5991	10865	11909
Contig67215	1097	2226	7495	8624
Contig94883	3710	5034	11215	12539
Contig34816	8062	9864	18279	20081
Contig95455	7131	8457	14649	15975
Contig103337	1985	2114	2722	2851
Contig68913	5381	5957	8649	9225
Contig68913	1132	1710	4408	4986
Contig65169	8365	9940	17296	18871
Contig65169	19366	19516	20218	20368
Contig65169	5674	5831	6569	6726
Contig65169	4405	4585	5426	5606
Contig65169	3593	3705	4232	4344
Contig324647	23	117	560	654
Contig116376	3657	4047	5870	6260
Contig19231	451	2151	10085	11785
Contig55843	2152	3585	10278	11711
Contig165431	5493	6319	10175	11001
Contig22190	20697	22936	33388	35627
Contig22190	10568	11911	18183	19526
Contig22618	585	1062	3292	3769
Contig22618	26560	26643	27031	27114
Contig22618	10860	11673	15468	16281
Contig109179	312	921	3766	4375
Contig36134	2050	2299	3465	3714
Contig4291	116	766	3801	4451
Contig77279	1010	1977	6494	7461
Contig2691	3927	6201	16814	19088
Contig460587	2942	3311	5037	5406
Contig4334	4961	5318	6989	7346
Contig2050	4777	5938	11360	12521
Contig2050	7867	8110	9244	9487
Contig88964	634	706	1046	1118
Contig135019	2322	2599	3896	4173
Contig72243	8142	8837	12082	12777
Contig52341	1686	1886	2821	3021
Contig51981	842	1606	5174	5938
Contig40684	8592	9215	12128	12751
Contig40684	971	2063	7161	8253
Contig216950	232	642	2561	2971
Contig100626	83	1012	5349	6278
Contig49438	1653	2391	5837	6575
Contig49438	1471	2484	7217	8230
Contig66056	1932	2374	4437	4879
Contig150	21372	24109	36882	39619
Contig150	1825	4756	18434	21365
Contig150	531	637	1135	1241
Contig192026	89	178	597	686
Contig62289	5993	6826	10719	11552
Contig62289	1360	1739	3510	3889
Contig62289	4586	5640	10561	11615
Contig35655	1737	2932	8515	9710
Contig74959	940	3095	13153	15308
Contig173511	6847	7402	9993	10548
Contig85591	1593	2287	5529	6223
Contig75472	3014	3045	3192	3223
Contig86390	3054	3970	8249	9165
Contig86390	1463	1587	2172	2296
Contig7584	1237	1613	3369	3745
Contig7584	3761	3910	4611	4760
Contig46807	175	475	1880	2180
Contig34108	2102	3938	12511	14347
Contig34108	23923	24071	24763	24911
Contig20184	117	867	4368	5118
Contig20184	3433	4929	11914	13410
Contig2410	5159	6011	9990	10842
Contig23663	2471	6927	27726	32182
Contig40502	6944	10053	24567	27676
Contig62426	364	1227	5256	6119
Contig45529	6687	10157	26352	29822
Contig504062	116	358	1493	1735
Contig81373	1107	1252	1930	2075
Contig32884	5201	6388	11928	13115
Contig32884	4029	4171	4837	4979
Contig32500	3188	3524	5096	5432
Contig32500	25622	26012	27834	28224
Contig32500	18977	19741	23311	24075
Contig32500	8156	11160	25181	28185
Contig33521	1193	5051	23060	26918
Contig25105	23110	24440	30652	31982
Contig32465	10650	10962	12419	12731
Contig94831	297	577	1889	2169
Contig47427	14690	15521	19399	20230
Contig49238	6667	8066	14597	15996
Contig49238	17290	18794	25818	27322
Contig41480	1581	3760	13932	16111
Contig57733	2051	4755	17380	20084
Contig96128	408	711	2130	2433
Contig45784	2771	3416	6431	7076
Contig34264	840	5156	25301	29617
Contig71245	1758	2504	5991	6737
Contig1783	3664	5090	11749	13175
Contig22774	10460	13603	28276	31419
Contig80336	3817	4853	9690	10726
Contig106238	5631	6929	12989	14287
Contig304	32201	32517	33997	34313
Contig304	725	3344	15571	18190
Contig304	36528	37078	39650	40200
Contig304	21509	21834	23352	23677
Contig30519	579	4764	24300	28485
Contig30519	19664	22012	32971	35319
Contig50038	10	83	425	498
Contig20265	159	2235	11924	14000
Contig20265	14477	14891	16825	17239
Contig89518	9777	9927	10627	10777
Contig89518	10866	10909	11110	11153
Contig89518	2718	3770	8682	9734
Contig61886	11098	11816	15172	15890
Contig61886	3313	4384	9386	10457
Contig99604	91	743	3792	4444
Contig99604	4525	4622	5078	5175
Contig29308	377	2982	15145	17750
Contig23492	11024	14627	31444	35047
Contig23492	1066	1914	5874	6722
Contig45382	5390	5926	8433	8969
Contig71500	3600	4567	9086	10053
Contig111434	1418	1713	3093	3388
Contig44135	22031	22229	23158	23356
Contig79701	3976	4342	6052	6418
Contig38676	2608	3229	6127	6748
Contig38676	48	366	1852	2170
Contig95876	8869	9164	10546	10841
Contig27464	6035	8620	20688	23273
Contig33879	1644	2997	9311	10664
Contig85506	2701	4176	11063	12538
Contig39166	17812	23974	52736	58898
Contig73610	936	1273	2850	3187
Contig88214	1298	2080	5733	6515
Contig88214	1018	1047	1188	1217
Contig61498	1425	1889	4056	4520
Contig133721	948	1136	2014	2202
Contig226964	257	436	1273	1452
Contig14424	537	594	860	917
Contig44734	256	562	1993	2299
Contig44734	12747	13961	19631	20845
Contig644461	259	377	932	1050
Contig134402	958	1043	1445	1530
Contig34270	8856	10066	15716	16926
Contig34270	1520	3608	13357	15445
Contig50355	2739	5031	15732	18024
Contig17262	455	1207	4720	5472
Contig17262	19088	20246	25650	26808
Contig17262	10511	11708	17298	18495
Contig44061	5163	5346	6204	6387
Contig48417	474	2449	11672	13647
Contig48417	14227	14495	15750	16018
Contig69446	589	694	1185	1290
Contig81750	23	1080	6018	7075
Contig18735	950	1080	1692	1822
Contig100166	574	795	1830	2051
Contig18247	3588	4409	8244	9065
Contig91574	7	147	806	946
Contig35806	300	400	870	970
Contig53084	1000	3568	15555	18123
Contig2373	2020	3966	13048	14994
Contig28555	4050	4675	7593	8218
Contig36335	980	1944	6449	7413
Contig45611	1324	1940	4820	5436
Contig109665	886	1646	5193	5953
Contig188556	615	665	901	951
Contig83035	2248	3218	7751	8721
Contig192186	877	993	1536	1652
Contig198413	5652	6173	8606	9127
Contig214071	683	1713	6523	7553
Contig160808	43	629	3366	3952
Contig160808	3956	4489	6977	7510
Contig35498	351	745	2588	2982
Contig44156	1700	3530	12070	13900
Contig5326	1435	1626	2520	2711
Contig85845	5827	6356	8825	9354
Contig67462	115	1031	5306	6222
Contig42172	62	726	3829	4493
Contig36836	2420	3961	11155	12696
Contig22973	26027	26969	31367	32309
Contig146545	54	111	377	434
Contig110297	508	541	696	729
Contig56000	3060	4775	12783	14498
Contig81983	1463	1524	1814	1875
Contig3076	335	929	3701	4295
Contig50284	4807	6405	13865	15463
Contig422	11225	13552	24415	26742
Contig422	23708	25676	34861	36829
Contig16133	11095	13208	23069	25182
Contig16133	30450	30770	32265	32585
Contig45942	1316	2559	8363	9606
Contig37877	1354	3777	15088	17511
Contig21581	57617	60160	72033	74576
Contig21581	35305	38261	52057	55013
Contig21581	2471	6966	27944	32439
Contig19783	110	1239	6509	7638
Contig19783	13724	14623	18819	19718
Contig19783	7665	7702	7876	7913
Contig19783	21076	21602	24063	24589
Contig36841	9963	11280	17426	18743
Contig4482	128	260	882	1014
Contig95874	2727	2941	3940	4154
Contig973	10702	11718	16461	17477
Contig973	800	1071	2337	2608
Contig15461	39	1424	7892	9277
Contig77679	1410	1677	2923	3190
Contig58158	762	2169	8738	10145
Contig126125	13	1434	8067	9488
Contig60601	1224	1315	1745	1836
Contig72756	6591	7057	9233	9699
Contig118576	2116	2621	4981	5486
Contig140451	2420	3735	9875	11190
Contig30116	23935	24823	28967	29855
Contig48668	1134	1906	5511	6283
Contig41851	1604	4462	17805	20663
Contig42181	5062	5430	7153	7521
Contig42181	6190	6357	7137	7304
Contig77594	3092	4199	9366	10473
Contig37786	781	1464	4652	5335
Contig180228	793	1379	4114	4700
Contig44028	680	3039	14049	16408
Contig70837	1152	1181	1317	1346
Contig24142	6802	7522	10886	11606
Contig24142	11703	11820	12370	12487
Contig33157	101	2217	12097	14213
Contig2984	6291	7876	15278	16863
Contig77338	1348	1394	1609	1655
Contig42582	450	2176	10232	11958
Contig46314	11961	12288	13819	14146
Contig1371	1270	3998	16733	19461
Contig2750	614	1939	8126	9451
Contig48397	33040	33886	37836	38682
Contig56464	345	611	1854	2120
Contig132767	2081	2607	5064	5590
Contig21936	244	1852	9359	10967
Contig37932	17954	19153	24750	25949
Contig37932	6952	8331	14769	16148
Contig53734	4647	5363	8709	9425
Contig35177	606	1086	3327	3807
Contig105506	8182	8801	11691	12310
Contig48223	17258	18314	23243	24299
Contig60636	1136	1337	2275	2476
Contig23325	35607	37191	44584	46168
Contig23325	3233	7067	24960	28794
Contig5874	1135	2291	7692	8848
Contig150576	765	1135	2863	3233
Contig68212	2616	4017	10555	11956
Contig110712	816	1485	4611	5280
Contig8454	700	784	1182	1266
Contig148071	75	288	1284	1497
Contig35557	1615	2386	5985	6756
Contig35557	511	632	1197	1318
Contig41647	24911	25901	30522	31512
Contig51908	12368	12664	14047	14343
Contig51908	242	2257	11664	13679
Contig117096	584	889	2315	2620
Contig50090	1279	1725	3810	4256
Contig50090	112	258	942	1088
Contig57220	1547	2761	8428	9642
Contig63049	655	3073	14358	16776
Contig63211	337	609	1881	2153
Contig126603	169	493	2008	2332
Contig17422	8215	9038	12884	13707
Contig17422	5212	7096	15892	17776
Contig60153	16599	16900	18309	18610
Contig181351	24	78	335	389
Contig279844	9	85	441	517
Contig26818	3450	5018	12340	13908
Contig84360	596	1075	3314	3793
Contig61035	7311	7561	8728	8978
Contig61035	2890	3497	6331	6938
Contig48916	21392	21923	24406	24937
Contig132976	78	455	2216	2593
Contig162314	330	650	2144	2464
Contig31671	1725	6079	26404	30758
Contig31671	28436	30191	38384	40139
Contig4048	17566	19232	27008	28674
Contig3535	1432	2808	9231	10607
Contig35434	8284	12087	29840	33643
Contig177930	675	1012	2590	2927
Contig76862	1885	1925	2115	2155
